<<<<<<< HEAD
﻿LASST010000000000003,Alabama
LASST020000000000003,Alaska
LASST040000000000003,Arizona
LASST050000000000003,Arkansas
LASST060000000000003,California
LASST080000000000003,Colorado
LASST090000000000003,Connecticut
LASST100000000000003,Delaware
LASST110000000000003,District of Columbia
LASST120000000000003,Florida
LASST130000000000003,Georgia
LASST150000000000003,Hawaii
LASST160000000000003,Idaho
LASST170000000000003,Illinois
LASST180000000000003,Indiana
LASST190000000000003,Iowa
LASST200000000000003,Kansas
LASST210000000000003,Kentucky
LASST220000000000003,Louisiana
LASST230000000000003,Maine
LASST240000000000003,Maryland
LASST250000000000003,Massachusetts
LASST260000000000003,Michigan
LASST270000000000003,Minnesota
LASST280000000000003,Mississippi
LASST290000000000003,Missouri
LASST300000000000003,Montana
LASST310000000000003,Nebraska
LASST320000000000003,Nevada
LASST330000000000003,New Hampshire
LASST340000000000003,New Jersey
LASST350000000000003,New Mexico
LASST360000000000003,New York
LASST370000000000003,North Carolina
LASST380000000000003,North Dakota
LASST390000000000003,Ohio
LASST400000000000003,Oklahoma
LASST410000000000003,Oregon
LASST420000000000003,Pennsylvania
LASST440000000000003,Rhode Island
LASST450000000000003,South Carolina
LASST460000000000003,South Dakota
LASST470000000000003,Tennessee
LASST480000000000003,Texas
LASST490000000000003,Utah
LASST500000000000003,Vermont
LASST510000000000003,Virginia
LASST530000000000003,Washington
LASST540000000000003,West Virginia
LASST550000000000003,Wisconsin
LASST560000000000003,Wyoming
LASST720000000000003,Puerto Rico
=======
﻿LASST010000000000003,Alabama
LASST020000000000003,Alaska
LASST040000000000003,Arizona
LASST050000000000003,Arkansas
LASST060000000000003,California
LASST080000000000003,Colorado
LASST090000000000003,Connecticut
LASST100000000000003,Delaware
LASST110000000000003,District of Columbia
LASST120000000000003,Florida
LASST130000000000003,Georgia
LASST150000000000003,Hawaii
LASST160000000000003,Idaho
LASST170000000000003,Illinois
LASST180000000000003,Indiana
LASST190000000000003,Iowa
LASST200000000000003,Kansas
LASST210000000000003,Kentucky
LASST220000000000003,Louisiana
LASST230000000000003,Maine
LASST240000000000003,Maryland
LASST250000000000003,Massachusetts
LASST260000000000003,Michigan
LASST270000000000003,Minnesota
LASST280000000000003,Mississippi
LASST290000000000003,Missouri
LASST300000000000003,Montana
LASST310000000000003,Nebraska
LASST320000000000003,Nevada
LASST330000000000003,New Hampshire
LASST340000000000003,New Jersey
LASST350000000000003,New Mexico
LASST360000000000003,New York
LASST370000000000003,North Carolina
LASST380000000000003,North Dakota
LASST390000000000003,Ohio
LASST400000000000003,Oklahoma
LASST410000000000003,Oregon
LASST420000000000003,Pennsylvania
LASST440000000000003,Rhode Island
LASST450000000000003,South Carolina
LASST460000000000003,South Dakota
LASST470000000000003,Tennessee
LASST480000000000003,Texas
LASST490000000000003,Utah
LASST500000000000003,Vermont
LASST510000000000003,Virginia
LASST530000000000003,Washington
LASST540000000000003,West Virginia
LASST550000000000003,Wisconsin
LASST560000000000003,Wyoming
LASST720000000000003,Puerto Rico
>>>>>>> main
,0
