Rank_disability_adults_nodoc_2020,State,%_disability_adults_nodoc_2020,#_disability_adults_nodoc_2020
1.0,District of Columbia,17.1,8373.0
2.0,Iowa,17.54,37774.0
3.0,Hawaii,17.63,16639.0
4.0,Massachusetts,18.56,109857.0
5.0,Vermont,19.02,9542.0
6.0,New York,20.97,314383.0
7.0,Delaware,20.98,18284.0
8.0,Ohio,21.02,236528.0
9.0,Connecticut,21.61,53913.0
10.0,Pennsylvania,22.48,277857.0
11.0,Montana,22.85,20088.0
12.0,North Dakota,23.74,12428.0
13.0,Minnesota,24.2,91135.0
14.0,Maine,24.37,33492.0
15.0,Washington,24.84,141746.0
16.0,Michigan,25.18,252279.0
17.0,New Jersey,25.19,177138.0
18.0,Nevada,25.27,76372.0
19.0,Rhode Island,25.71,26383.0
20.0,Kentucky,25.85,137755.0
21.0,West Virginia,25.99,65433.0
22.0,Oregon,26.03,108294.0
23.0,New Hampshire,26.91,28858.0
24.0,California,27.05,796447.0
25.0,Indiana,27.1,157334.0
26.0,Arizona,27.17,153262.0
27.0,Wyoming,27.44,12362.0
28.0,Colorado,27.45,88135.0
29.0,Maryland,27.45,111740.0
30.0,Louisiana,28.08,160506.0
31.0,Oklahoma,28.18,115914.0
32.0,Wisconsin,28.2,119187.0
33.0,New Mexico,28.23,54533.0
34.0,South Dakota,28.36,17869.0
35.0,Illinois,29.66,249140.0
36.0,Kansas,30.27,70938.0
37.0,Alaska,30.9,17348.0
38.0,Idaho,31.04,43794.0
39.0,Nebraska,31.66,39724.0
40.0,Tennessee,31.86,245411.0
41.0,Utah,31.92,75977.0
42.0,Missouri,32.87,190827.0
43.0,South Carolina,33.75,179775.0
44.0,Arkansas,34.16,111986.0
45.0,Virginia,34.24,223528.0
46.0,Texas,34.57,690102.0
47.0,Mississippi,35.2,130909.0
48.0,North Carolina,35.23,343530.0
49.0,Florida,35.36,754413.0
50.0,Alabama,36.7,212868.0
51.0,Georgia,41.92,410646.0
,National,28.69,8153779.0
