Rank_youth_no_mh_care2020,State,%_youth_no_mh_care2020,#_youth_no_mh_care2020
1.0,Rhode Island,39.5,4000.0
2.0,Connecticut,43.9,16000.0
3.0,Wisconsin,44.3,27000.0
4.0,Maine,45.3,7000.0
5.0,North Dakota,46.7,2000.0
6.0,Minnesota,47.5,27000.0
7.0,Ohio,48.6,63000.0
8.0,District of Columbia,48.7,1000.0
9.0,Virginia,51.3,44000.0
10.0,Maryland,52.5,33000.0
11.0,Louisiana,52.7,18000.0
12.0,Utah,53.8,24000.0
13.0,Pennsylvania,53.9,59000.0
14.0,West Virginia,54.2,10000.0
15.0,Massachusetts,54.5,38000.0
16.0,New Hampshire,54.7,7000.0
17.0,Indiana,54.8,40000.0
18.0,New York,55.1,83000.0
19.0,Vermont,55.3,3000.0
20.0,Colorado,55.6,30000.0
21.0,Oregon,55.6,27000.0
22.0,Idaho,55.7,13000.0
23.0,South Dakota,55.7,4000.0
24.0,Illinois,56.1,80000.0
25.0,Tennessee,57.0,37000.0
26.0,Florida,57.2,106000.0
27.0,Delaware,57.3,4000.0
28.0,New Jersey,57.8,40000.0
29.0,Hawaii,57.9,6000.0
30.0,Missouri,59.0,45000.0
31.0,Washington,59.1,40000.0
32.0,Iowa,59.8,20000.0
33.0,Michigan,59.8,64000.0
34.0,Arizona,60.2,38000.0
35.0,Arkansas,61.3,19000.0
36.0,Nevada,61.4,22000.0
37.0,New Mexico,61.4,16000.0
38.0,Kentucky,62.0,19000.0
39.0,Wyoming,62.5,4000.0
40.0,Montana,63.2,6000.0
41.0,Mississippi,63.7,16000.0
42.0,California,63.9,245000.0
43.0,Texas,65.4,180000.0
44.0,Alaska,65.6,5000.0
45.0,Oklahoma,65.8,28000.0
46.0,Alabama,67.5,26000.0
47.0,Kansas,70.8,22000.0
48.0,Georgia,70.9,67000.0
49.0,Nebraska,71.3,14000.0
50.0,South Carolina,73.7,33000.0
51.0,North Carolina,74.3,68000.0
,National,59.0,1848000.0
