Rank,State,healthcare_workers_per_person_2021,worker_ratio_2021
1.0,Massachusetts,160,0.00625
2.0,Oregon,190,0.005263157894736842
3.0,District of Columbia,210,0.004761904761904762
4.0,Maine,210,0.004761904761904762
5.0,Vermont,220,0.004545454545454545
6.0,Alaska,230,0.004347826086956522
7.0,Rhode Island,240,0.004166666666666667
8.0,Connecticut,250,0.004
9.0,Oklahoma,250,0.004
10.0,New Mexico,260,0.0038461538461538464
11.0,Washington,270,0.003703703703703704
12.0,California,280,0.0035714285714285713
13.0,Colorado,280,0.0035714285714285713
14.0,Utah,300,0.0033333333333333335
15.0,Wyoming,300,0.0033333333333333335
16.0,Montana,330,0.0030303030303030303
17.0,New Hampshire,330,0.0030303030303030303
18.0,Louisiana,340,0.0029411764705882353
19.0,New York,350,0.002857142857142857
20.0,Michigan,370,0.002702702702702703
21.0,Delaware,380,0.002631578947368421
22.0,Nebraska,380,0.002631578947368421
23.0,Maryland,390,0.002564102564102564
24.0,Hawaii,400,0.0025
25.0,Minnesota,400,0.0025
26.0,North Carolina,410,0.0024390243902439024
27.0,Ohio,410,0.0024390243902439024
28.0,Arkansas,440,0.0022727272727272726
29.0,Illinois,440,0.0022727272727272726
30.0,Kentucky,440,0.0022727272727272726
31.0,New Jersey,450,0.0022222222222222222
32.0,Nevada,470,0.002127659574468085
33.0,Idaho,480,0.0020833333333333333
34.0,Pennsylvania,480,0.0020833333333333333
35.0,Wisconsin,490,0.0020408163265306124
36.0,Kansas,510,0.00196078431372549
37.0,Missouri,510,0.00196078431372549
38.0,North Dakota,530,0.0018867924528301887
39.0,South Dakota,550,0.0018181818181818182
40.0,South Carolina,570,0.0017543859649122807
41.0,Virginia,570,0.0017543859649122807
42.0,Florida,620,0.0016129032258064516
43.0,Indiana,620,0.0016129032258064516
44.0,Mississippi,630,0.0015873015873015873
45.0,Iowa,640,0.0015625
46.0,Tennessee,660,0.0015151515151515152
47.0,Georgia,730,0.0013698630136986301
48.0,Arizona,750,0.0013333333333333333
49.0,West Virginia,770,0.0012987012987012987
50.0,Texas,880,0.0011363636363636363
51.0,Alabama,990,0.00101010101010101
